compound,structure_identifier,smiles,canonical_smiles,isomeric_match_count,nonisomeric_match_count,prefilter_candidate_count,join_status,interpretation
alpha-thujone,SN0378958-02,CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2,CC1C(=O)CC2(C(C)C)CC12,0,0,18145,no_join_found,No exact or connectivity-only match in inspected SAIR parquet release; not biological absence
beta-thujone,SN0378958-01,CC(C)[C@]12C[C@H]1[C@@H](C)C(=O)C2,CC(C)[C@@]12CC(=O)[C@H](C)[C@@H]1C2,0,0,18145,no_join_found,No exact or connectivity-only match in inspected SAIR parquet release; not biological absence
trans-anethole,SN0335873,COc1ccc(C=CC)cc1,CC=Cc1ccc(OC)cc1,0,0,18145,no_join_found,No exact or connectivity-only match in inspected SAIR parquet release; not biological absence
fenchone,SN0205925-03,CC1(C)[C@H]2CC[C@](C)(C2)C1=O,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,0,0,18145,no_join_found,No exact or connectivity-only match in inspected SAIR parquet release; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,C=C[C@](C)(O)CCC=C(C)C,0,0,18145,no_join_found,No exact or connectivity-only match in inspected SAIR parquet release; not biological absence
beta-myrcene,ChEBI:17221,CC(=C)CCC=C(C)C,C=C(C)CCC=C(C)C,0,0,18145,no_join_found,No exact or connectivity-only match in inspected SAIR parquet release; not biological absence
limonene,ChEBI:15384,CC1=CCC(CC1)C(=C)C,C=C(C)C1CC=C(C)CC1,0,0,18145,no_join_found,No exact or connectivity-only match in inspected SAIR parquet release; not biological absence
